County,Agency,Age,Race/Ethnicity,Gender2
Atlantic,Absecon City PD,20,White,Male
Atlantic,Absecon City PD,22,White,Male
Atlantic,Absecon City PD,26,Black or African American,Male
Atlantic,Absecon City PD,27,White,Male
Atlantic,Absecon City PD,29,White,Male
Atlantic,Absecon City PD,29,White,Male
Atlantic,Absecon City PD,30,White,Male
Atlantic,Absecon City PD,32,White,Male
Atlantic,Absecon City PD,34,White,Male
Atlantic,Absecon City PD,35,White,Male
Atlantic,Absecon City PD,35,White,Male
Atlantic,Absecon City PD,35,White,Male
Atlantic,Absecon City PD,36,White,Male
Atlantic,Absecon City PD,36,White,Male
Atlantic,Absecon City PD,36,White,Male
Atlantic,Absecon City PD,39,White,Male
Atlantic,Absecon City PD,39,White,Male
Atlantic,Absecon City PD,40,Asian,Female
Atlantic,Absecon City PD,40,White,Male
Atlantic,Absecon City PD,41,White,Male
Atlantic,Absecon City PD,41,White,Male
Atlantic,Absecon City PD,44,White,Male
Atlantic,Absecon City PD,46,White,Female
Atlantic,Absecon City PD,47,White,Male
Atlantic,Absecon City PD,48,White,Male
Atlantic,Absecon City PD,48,White,Male
Atlantic,Absecon City PD,49,White,Male
Atlantic,Absecon City PD,50,White,Male
Atlantic,Absecon City PD,57,White,Male
Atlantic,Atlantic City PD,20,White,Male
Atlantic,Atlantic City PD,21,Hispanic,Male
Atlantic,Atlantic City PD,21,White,Male
Atlantic,Atlantic City PD,22,White,Female
Atlantic,Atlantic City PD,22,Hispanic,Male
Atlantic,Atlantic City PD,22,Hispanic,Male
Atlantic,Atlantic City PD,23,White,Male
Atlantic,Atlantic City PD,23,Asian,Male
Atlantic,Atlantic City PD,24,Asian,Male
Atlantic,Atlantic City PD,24,White,Male
Atlantic,Atlantic City PD,24,Black or African American,Male
Atlantic,Atlantic City PD,24,Hispanic,Male
Atlantic,Atlantic City PD,24,White,Female
Atlantic,Atlantic City PD,24,White,Female
Atlantic,Atlantic City PD,25,White,Male
Atlantic,Atlantic City PD,25,Asian,Male
Atlantic,Atlantic City PD,25,Hispanic,Male
Atlantic,Atlantic City PD,25,Black or African American,Male
Atlantic,Atlantic City PD,26,White,Male
Atlantic,Atlantic City PD,26,Black or African American,Male
Atlantic,Atlantic City PD,26,Black or African American,Male
Atlantic,Atlantic City PD,26,White,Female
Atlantic,Atlantic City PD,26,White,Male
Atlantic,Atlantic City PD,26,White,Male
Atlantic,Atlantic City PD,26,Hispanic,Male
Atlantic,Atlantic City PD,26,Black or African American,Male
Atlantic,Atlantic City PD,26,Black or African American,Male
Atlantic,Atlantic City PD,26,Black or African American,Male
Atlantic,Atlantic City PD,27,Hispanic,Male
Atlantic,Atlantic City PD,27,White,Male
Atlantic,Atlantic City PD,27,White,Male
Atlantic,Atlantic City PD,27,White,Male
Atlantic,Atlantic City PD,27,White,Male
Atlantic,Atlantic City PD,28,White,Male
Atlantic,Atlantic City PD,28,Black or African American,Male
Atlantic,Atlantic City PD,28,Hispanic,Male
Atlantic,Atlantic City PD,28,Hispanic,Male
Atlantic,Atlantic City PD,28,Asian,Male
Atlantic,Atlantic City PD,28,Black or African American,Female
